W	Q2	S_{0+}		S_{1+}		S_{2+}		S_{3+}		S_{4+}		S_{5+}		S_{0-}		S_{1-}		S_{2-}		S_{3-}		S_{4-}		S_{5-}		E_{0+}		E_{1+}		E_{2+}		E_{3+}		E_{4+}		E_{5+}		E_{0-}		E_{1-}		E_{2-}		E_{3-}		E_{4-}		E_{5-}		M_{0+}		M_{1+}		M_{2+}		M_{3+}		M_{4+}		M_{5+}		M_{0-}		M_{1-}		M_{2-}		M_{3-}		M_{4-}		M_{5-}
1.3	0	8.113	-1.039	1.432	-0.161	0.756	0.01	0.305	0.001	0.136	0	0.065	0	0	0	8.462	1.049	-1.726	-0.138	-0.65	-0.007	-0.231	0	-0.098	0	13.077	-0.266	1.897	-0.402	0.77	0.01	0.297	0.001	0.128	0	0.059	0	0	0	0	0	5.623	0.448	1.12	0.014	0.334	0	0.131	0	0	0	3.732	-6.96	-0.461	-0.007	-0.235	-0.001	-0.066	0	-0.026	0	0	0	5.642	0.466	1.267	0.119	0.308	0.007	0.085	0	0.031	0
1.31	0	7.934	-1.114	1.465	-0.206	0.763	0.011	0.31	0.001	0.14	0	0.067	0	0	0	8.172	1.248	-1.749	-0.16	-0.669	-0.008	-0.239	0	-0.103	0	12.871	-0.305	1.925	-0.424	0.766	0.011	0.298	0.001	0.13	0	0.061	0	0	0	0	0	5.683	0.517	1.138	0.016	0.341	0	0.135	0	0	0	3.621	-6.069	-0.455	-0.008	-0.241	-0.001	-0.068	0	-0.028	0	0	0	5.646	0.667	1.302	0.14	0.32	0.008	0.088	0	0.033	0
1.32	0	7.759	-1.187	1.495	-0.239	0.77	0.012	0.317	0.001	0.145	0	0.07	0	0	0	7.841	1.447	-1.773	-0.186	-0.687	-0.01	-0.246	0	-0.107	0	12.678	-0.337	1.947	-0.437	0.762	0.012	0.3	0.001	0.132	0	0.063	0	0	0	0	0	5.744	0.594	1.156	0.019	0.347	0	0.138	0	0	0	3.456	-5.306	-0.449	-0.008	-0.249	-0.001	-0.07	0	-0.029	0	0	0	5.612	0.905	1.338	0.165	0.331	0.008	0.092	0	0.034	0
1.33	0	7.585	-1.255	1.521	-0.266	0.776	0.013	0.323	0.001	0.149	0	0.073	0	0	0	7.466	1.632	-1.795	-0.214	-0.705	-0.011	-0.253	0	-0.112	0	12.502	-0.362	1.967	-0.446	0.759	0.013	0.301	0.001	0.134	0	0.064	0	0	0	0	0	5.807	0.683	1.173	0.022	0.351	0	0.141	0	0	0	3.263	-4.65	-0.442	-0.008	-0.256	-0.002	-0.072	0	-0.03	0	0	0	5.534	1.17	1.375	0.195	0.343	0.01	0.095	0	0.035	0
1.34	0	7.417	-1.323	1.542	-0.287	0.781	0.014	0.329	0.001	0.153	0	0.076	0	0	0	7.044	1.787	-1.817	-0.246	-0.722	-0.012	-0.259	0	-0.116	0	12.341	-0.377	1.981	-0.449	0.753	0.014	0.301	0.001	0.135	0	0.066	0	0	0	0	0	5.874	0.785	1.189	0.026	0.356	0	0.144	0	0	0	3.052	-4.081	-0.434	-0.009	-0.263	-0.002	-0.074	0	-0.032	0	0	0	5.395	1.462	1.415	0.23	0.355	0.012	0.098	0	0.037	0
1.35	0	7.251	-1.385	1.561	-0.303	0.786	0.016	0.334	0.001	0.157	0	0.079	0	0	0	6.589	1.895	-1.84	-0.284	-0.739	-0.016	-0.265	0	-0.12	0	12.195	-0.384	1.994	-0.45	0.75	0.014	0.301	0.001	0.137	0	0.066	0	0	0	0	0	5.945	0.902	1.207	0.03	0.361	0	0.147	0	0	0	2.834	-3.585	-0.424	-0.009	-0.27	-0.002	-0.075	0	-0.033	0	0	0	5.19	1.759	1.457	0.27	0.368	0.014	0.1	0	0.038	0
1.36	0	7.088	-1.444	1.575	-0.316	0.79	0.016	0.339	0.001	0.161	0	0.081	0	0	0	6.112	1.938	-1.864	-0.325	-0.756	-0.017	-0.271	0	-0.126	0	12.064	-0.381	2.003	-0.447	0.744	0.016	0.302	0.001	0.138	0	0.068	0	0	0	0	0	6.019	1.035	1.224	0.033	0.364	0	0.149	0	0	0	2.61	-3.146	-0.415	-0.009	-0.277	-0.003	-0.077	0	-0.034	0	0	0	4.913	2.045	1.5	0.318	0.38	0.016	0.102	0	0.04	0
1.37	0	6.929	-1.502	1.588	-0.324	0.793	0.016	0.344	0.001	0.164	0	0.083	0	0	0	5.638	1.911	-1.889	-0.376	-0.773	-0.021	-0.276	0	-0.13	0	11.949	-0.368	2.013	-0.442	0.738	0.016	0.302	0.001	0.139	0	0.069	0	0	0	0	0	6.097	1.189	1.241	0.039	0.368	0	0.152	0	0	0	2.387	-2.757	-0.405	-0.009	-0.284	-0.003	-0.078	0	-0.034	0	0	0	4.575	2.297	1.548	0.373	0.394	0.018	0.105	0	0.041	0
1.38	0	6.772	-1.555	1.598	-0.332	0.795	0.018	0.348	0.002	0.167	0	0.086	0	0	0	5.193	1.82	-1.913	-0.435	-0.789	-0.023	-0.282	0	-0.134	0	11.848	-0.34	2.021	-0.437	0.733	0.016	0.302	0.001	0.14	0	0.07	0	0	0	0	0	6.181	1.368	1.258	0.046	0.371	0	0.154	0	0	0	2.164	-2.413	-0.395	-0.008	-0.289	-0.004	-0.079	0	-0.036	0	0	0	4.195	2.493	1.596	0.439	0.409	0.021	0.107	0	0.042	0
1.39	0	6.617	-1.605	1.604	-0.335	0.798	0.019	0.352	0.002	0.171	0	0.088	0	0	0	4.799	1.676	-1.939	-0.503	-0.806	-0.027	-0.287	0	-0.137	0	11.761	-0.297	2.028	-0.429	0.727	0.017	0.302	0.001	0.141	0	0.071	0	0	0	0	0	6.267	1.578	1.276	0.052	0.373	0	0.156	0	0	0	1.946	-2.101	-0.383	-0.009	-0.296	-0.004	-0.08	0	-0.037	0	0	0	3.792	2.625	1.648	0.519	0.424	0.025	0.108	0	0.043	0
1.4	0	6.462	-1.653	1.607	-0.338	0.8	0.021	0.354	0.002	0.174	0	0.091	0	0	0	4.462	1.503	-1.964	-0.583	-0.823	-0.032	-0.291	0	-0.141	0	11.691	-0.236	2.034	-0.419	0.722	0.019	0.301	0.002	0.141	0	0.072	0	0	0	0	0	6.358	1.824	1.296	0.058	0.376	0	0.158	0	0	0	1.732	-1.823	-0.371	-0.009	-0.302	-0.004	-0.081	0	-0.038	0	0	0	3.39	2.691	1.701	0.615	0.44	0.029	0.112	0	0.044	0
1.41	0	6.313	-1.695	1.61	-0.339	0.8	0.023	0.358	0.002	0.177	0	0.092	0	0	0	4.181	1.319	-1.988	-0.679	-0.84	-0.035	-0.296	0	-0.144	0	11.641	-0.154	2.04	-0.408	0.715	0.02	0.301	0.002	0.142	0	0.072	0	0	0	0	0	6.445	2.116	1.316	0.067	0.378	0	0.159	0	0	0	1.519	-1.573	-0.359	-0.008	-0.308	-0.005	-0.084	0	-0.039	0	0	0	3.008	2.696	1.755	0.729	0.456	0.033	0.114	0	0.045	0
1.42	0	6.164	-1.735	1.611	-0.338	0.801	0.025	0.362	0.003	0.18	0	0.095	0	0	0	3.953	1.138	-2.008	-0.793	-0.857	-0.041	-0.3	0	-0.148	0	11.609	-0.044	2.046	-0.396	0.709	0.022	0.301	0.002	0.142	0	0.073	0	0	0	0	0	6.525	2.465	1.336	0.077	0.38	0	0.162	0	0	0	1.315	-1.348	-0.346	-0.008	-0.315	-0.006	-0.084	0	-0.04	0	0	0	2.653	2.653	1.806	0.87	0.473	0.039	0.115	0	0.046	0
1.43	0	6.017	-1.769	1.609	-0.336	0.801	0.027	0.364	0.003	0.182	0	0.096	0	0	0	3.766	0.972	-2.021	-0.932	-0.874	-0.047	-0.305	0	-0.151	0	11.597	0.099	2.051	-0.384	0.703	0.023	0.3	0.002	0.143	0	0.074	0	0	0	0	0	6.588	2.883	1.358	0.089	0.381	0	0.163	0	0	0	1.116	-1.147	-0.332	-0.006	-0.321	-0.007	-0.085	0	-0.041	0	0	0	2.333	2.577	1.849	1.041	0.493	0.043	0.117	0	0.047	0
1.44	0	5.871	-1.799	1.605	-0.331	0.801	0.029	0.368	0.003	0.184	0	0.099	0	0	0	3.611	0.82	-2.019	-1.098	-0.891	-0.053	-0.308	0	-0.154	0	11.609	0.288	2.058	-0.367	0.696	0.025	0.299	0.003	0.143	0	0.074	0	0	0	0	0	6.612	3.383	1.382	0.101	0.383	0	0.165	0	0	0	0.924	-0.966	-0.317	-0.005	-0.328	-0.008	-0.086	0	-0.041	0	0	0	2.045	2.477	1.879	1.252	0.513	0.05	0.119	0	0.048	0
1.45	0	5.724	-1.822	1.599	-0.327	0.8	0.031	0.37	0.004	0.187	0	0.1	0	0	0	3.479	0.689	-1.994	-1.299	-0.909	-0.061	-0.31	0	-0.157	0	11.644	0.536	2.062	-0.351	0.69	0.026	0.298	0.003	0.143	0	0.074	0	0	0	0	0	6.57	3.981	1.407	0.115	0.385	0	0.166	0	0	0	0.739	-0.805	-0.303	-0.003	-0.334	-0.008	-0.086	0	-0.042	0	0	0	1.789	2.364	1.879	1.507	0.534	0.058	0.122	0	0.049	0
1.46	0	5.575	-1.842	1.591	-0.321	0.8	0.033	0.371	0.004	0.189	0	0.102	0	0	0	3.364	0.578	-1.926	-1.534	-0.927	-0.069	-0.313	0	-0.159	0	11.701	0.866	2.069	-0.332	0.683	0.029	0.297	0.003	0.143	0	0.075	0	0	0	0	0	6.415	4.682	1.434	0.132	0.385	0	0.167	0	0	0	0.56	-0.661	-0.286	-0.001	-0.34	-0.009	-0.087	0	-0.043	0	0	0	1.563	2.246	1.83	1.811	0.558	0.067	0.123	0	0.05	0
1.47	0	5.419	-1.852	1.581	-0.313	0.798	0.036	0.373	0.004	0.191	0	0.103	0	0	0	3.26	0.482	-1.795	-1.799	-0.946	-0.079	-0.316	0	-0.162	0	11.769	1.322	2.074	-0.312	0.675	0.029	0.295	0.003	0.143	0	0.075	0	0	0	0	0	6.079	5.472	1.464	0.15	0.386	0	0.168	0	0	0	0.391	-0.534	-0.27	0.002	-0.347	-0.011	-0.087	0	-0.044	0	0	0	1.359	2.126	1.698	2.16	0.582	0.078	0.124	0	0.051	0
1.48	0	5.245	-1.852	1.566	-0.305	0.796	0.039	0.375	0.004	0.192	0	0.105	0	0	0	3.168	0.396	-1.57	-2.074	-0.965	-0.089	-0.319	0	-0.165	0	11.8	1.964	2.08	-0.291	0.668	0.032	0.294	0.004	0.143	0	0.075	0	0	0	0	0	5.488	6.294	1.496	0.173	0.387	0	0.169	0	0	0	0.233	-0.423	-0.254	0.005	-0.353	-0.012	-0.089	0	-0.045	0	0	0	1.172	2.013	1.446	2.53	0.61	0.09	0.127	0	0.052	0
1.49	0	5.019	-1.903	1.551	-0.297	0.792	0.042	0.378	0.005	0.194	0	0.107	0	0	0	3.083	0.325	-1.232	-2.314	-0.986	-0.102	-0.321	0	-0.169	0	11.079	2.872	2.085	-0.267	0.661	0.034	0.292	0.004	0.143	0	0.076	0	0	0	0	0	4.578	7.029	1.531	0.197	0.388	0	0.171	0	0	0	0.084	-0.326	-0.235	0.009	-0.36	-0.014	-0.089	0	-0.046	0	0	0	1.003	1.903	1.042	2.866	0.638	0.104	0.128	0	0.054	0
1.5	0	4.895	-2.031	1.532	-0.288	0.789	0.045	0.379	0.005	0.195	0	0.108	0	0	0	3	0.264	-0.787	-2.456	-1.006	-0.117	-0.324	0	-0.171	0	10.137	3.46	2.089	-0.24	0.654	0.037	0.291	0.004	0.143	0	0.076	0	0	0	0	0	3.369	7.496	1.567	0.226	0.388	0	0.171	0	0	0	-0.051	-0.243	-0.216	0.014	-0.366	-0.016	-0.089	0	-0.046	0	0	0	0.848	1.8	0.486	3.079	0.67	0.123	0.129	0	0.054	0
1.51	0	4.83	-2.129	1.509	-0.279	0.785	0.049	0.379	0.006	0.198	0	0.109	0	0	0	2.923	0.211	-0.288	-2.439	-1.028	-0.134	-0.326	0	-0.173	0	9.168	3.897	2.086	-0.212	0.645	0.041	0.29	0.004	0.143	0	0.076	0	0	0	0	0	2.014	7.527	1.608	0.26	0.388	0	0.172	0	0	0	-0.175	-0.17	-0.197	0.02	-0.373	-0.017	-0.089	0	-0.047	0	0	0	0.702	1.705	-0.154	3.085	0.704	0.144	0.132	0	0.056	0
1.52	0	4.818	-2.178	1.484	-0.272	0.78	0.054	0.381	0.006	0.199	0	0.111	0	0	0	2.845	0.169	0.167	-2.25	-1.05	-0.154	-0.328	0	-0.176	0	8.115	4.09	2.083	-0.181	0.637	0.042	0.288	0.004	0.143	0	0.076	0	0	0	0	0	0.771	7.09	1.652	0.302	0.389	0	0.172	0	0	0	-0.284	-0.109	-0.176	0.029	-0.379	-0.02	-0.089	0	-0.048	0	0	0	0.568	1.619	-0.753	2.858	0.742	0.168	0.132	0	0.056	0
1.53	0	4.835	-2.154	1.455	-0.266	0.775	0.058	0.382	0.007	0.2	0	0.112	0	0	0	2.779	0.126	0.505	-1.942	-1.073	-0.177	-0.33	0	-0.178	0	7.113	3.996	2.077	-0.15	0.628	0.046	0.287	0.005	0.143	0	0.076	0	0	0	0	0	-0.145	6.333	1.699	0.35	0.389	0	0.173	0	0	0	-0.381	-0.055	-0.154	0.037	-0.387	-0.022	-0.091	0	-0.049	0	0	0	0.436	1.541	-1.2	2.462	0.781	0.198	0.133	0	0.057	0
1.54	0	4.851	-2.041	1.423	-0.263	0.768	0.063	0.383	0.008	0.202	0	0.113	0	0	0	2.708	0.091	0.701	-1.599	-1.096	-0.204	-0.331	0	-0.18	0	6.319	3.713	2.072	-0.117	0.62	0.049	0.286	0.005	0.143	0	0.076	0	0	0	0	0	-0.675	5.486	1.751	0.408	0.388	0	0.174	0	0	0	-0.466	-0.009	-0.131	0.05	-0.393	-0.025	-0.09	0	-0.049	0	0	0	0.313	1.469	-1.461	2.003	0.824	0.234	0.135	0	0.058	0
1.55	0	4.828	-1.837	1.387	-0.263	0.761	0.067	0.383	0.008	0.203	0	0.115	0	0	0	2.644	0.059	0.783	-1.279	-1.12	-0.237	-0.333	0	-0.181	0	5.788	3.408	2.064	-0.084	0.609	0.053	0.284	0.006	0.141	0	0.077	0	0	0	0	0	-0.898	4.72	1.805	0.478	0.389	0	0.174	0	0	0	-0.535	0.032	-0.107	0.064	-0.4	-0.027	-0.09	0	-0.05	0	0	0	0.195	1.406	-1.566	1.569	0.871	0.28	0.137	0	0.058	0
1.56	0	4.748	-1.558	1.35	-0.266	0.753	0.074	0.384	0.008	0.205	0	0.116	0	0	0	2.584	0.027	0.791	-1.012	-1.144	-0.276	-0.335	0	-0.184	0	5.481	3.236	2.056	-0.049	0.599	0.056	0.283	0.006	0.14	0	0.077	0	0	0	0	0	-0.931	4.108	1.862	0.562	0.389	0	0.174	0	0	0	-0.593	0.067	-0.084	0.082	-0.409	-0.031	-0.09	0	-0.051	0	0	0	0.078	1.352	-1.569	1.198	0.919	0.335	0.139	0	0.058	0
1.57	0	4.591	-1.229	1.311	-0.272	0.742	0.079	0.385	0.009	0.206	0	0.117	0	0	0	2.521	0	0.759	-0.798	-1.166	-0.322	-0.336	0	-0.185	0	5.321	3.265	2.048	-0.013	0.586	0.06	0.281	0.007	0.14	0	0.077	0	0	0	0	0	-0.871	3.657	1.918	0.665	0.389	0	0.174	0	0	0	-0.639	0.1	-0.059	0.105	-0.416	-0.034	-0.091	0	-0.052	0	0	0	-0.033	1.301	-1.512	0.893	0.971	0.403	0.139	0	0.059	0
