W,Q2,Sigma_t,Sigma_l
1.76,0.1,30.5177,13.0672
1.77,0.1,28.0658,12.6679
1.78,0.1,26.0567,12.292
1.79,0.1,24.3897,11.9088
1.8,0.1,23.0077,11.5348
1.81,0.1,21.8866,11.1416
1.82,0.1,20.9616,10.7554
1.83,0.1,20.1515,10.3729
1.84,0.1,19.4671,10.0051
1.85,0.1,18.8522,9.64098
1.86,0.1,18.3512,9.29306
1.87,0.1,17.8933,8.99242
1.88,0.1,17.4827,8.69131
1.89,0.1,17.0668,8.41005
1.9,0.1,16.6956,8.15972
1.91,0.1,16.304,7.92256
1.92,0.1,15.8872,7.69928
1.93,0.1,15.4977,7.49509
1.94,0.1,15.1245,7.30415
1.95,0.1,14.7456,7.134
1.96,0.1,14.3732,6.9653
1.97,0.1,14.0637,6.8072
1.98,0.1,13.7502,6.65558
1.99,0.1,13.4716,6.50561
2,0.1,13.2319,6.35717
1.08,0.15,17.6687,3.60314
1.09,0.15,62.0357,19.2708
1.1,0.15,85.3709,32.901
1.11,0.15,103.907,45.2222
1.12,0.15,121.127,56.1977
1.13,0.15,138.997,65.8072
1.14,0.15,159.318,74.2696
1.15,0.15,183.956,81.5425
1.16,0.15,214.698,87.6207
1.17,0.15,252.907,92.3773
1.18,0.15,297.7,95.5117
1.19,0.15,343.432,96.0718
1.2,0.15,378.31,93.9208
1.21,0.15,389.412,89.2026
1.22,0.15,373.086,83.4001
1.23,0.15,338.095,77.8969
1.24,0.15,296.816,73.8832
1.25,0.15,257.85,71.0303
1.26,0.15,224.694,69.1467
1.27,0.15,197.688,67.8184
1.28,0.15,176.129,66.6489
1.29,0.15,158.981,65.5547
1.3,0.15,145.141,64.1854
1.31,0.15,134.045,62.6897
1.32,0.15,124.983,60.6935
1.33,0.15,117.653,58.5026
1.34,0.15,111.681,55.8713
1.35,0.15,106.858,52.9258
1.36,0.15,102.984,49.7939
1.37,0.15,100.008,46.6428
1.38,0.15,97.6978,43.5876
1.39,0.15,96.0377,40.8642
1.4,0.15,95.0192,38.4213
