W,Q2,L0+Re,L0+Im,L1+Re,L1+Im,L2+Re,L2+Im,L3+Re,L3+Im,L4+Re,L4+Im,L5+Re,L5+Im,L0-Re,L0-Im,L1-Re,L1-Im,L2-Re,L2-Im,L3-Re,L3-Im,L4-Re,L4-Im,L5-Re,L5-Im,E0+Re,E0+Im,E1+Re,E1+Im,E2+Re,E2+Im,E3+Re,E3+Im,E4+Re,E4+Im,E5+Re,E5+Im,E0-Re,E0-Im,E1-Re,E1-Im,E2-Re,E2-Im,E3-Re,E3-Im,E4-Re,E4-Im,E5-Re,E5-Im,M0+Re,M0+Im,M1+Re,M1+Im,M2+Re,M2+Im,M3+Re,M3+Im,M4+Re,M4+Im,M5+Re,M5+Im,M0-Re,M0-Im,M1-Re,M1-Im,M2-Re,M2-Im,M3-Re,M3-Im,M4-Re,M4-Im,M5-Re,M5-Im,
1.81,4.3,-0.000245889,-0.0317197,0.00590134,0.00368834,0.00196711,0.000737668,-0,0.000491778,-0,-0,-0,-0,-0,-0,-0.0366375,-0.00368834,0.00172122,-0.000491778,-0.00196711,0.000491778,0.000245889,-0,-0,-0,-0.616,0.236,0.036,-0.005,0.009,-0.004,0.002,-0.001,0.002,0,0,0,0,0,0,0,-0.03,0.023,0.042,-0.01,-0.014,0,0.006,0,0,0,0.073,-0.004,-0.011,-0.001,0.025,0.009,-0.006,0,0.005,0,0,0,-0.151,-0.16,-0.085,0.005,-0.009,0.007,0.003,0,0,0,
1.82,4.3,0.000240228,-0.0309894,0.00576546,0.00384364,0.00192182,0.000720683,-0.000240228,0.000480455,-0,-0,-0,-0,-0,-0,-0.0357939,-0.00360342,0.00168159,-0.000480455,-0.00192182,0.000480455,0.000240228,-0,-0,-0,-0.578,0.223,0.035,-0.005,0.009,-0.003,0.002,-0.001,0.002,0,0,0,0,0,0,0,-0.031,0.025,0.041,-0.009,-0.014,0,0.006,0,0,0,0.076,-0.002,-0.011,-0.001,0.025,0.009,-0.006,0,0.005,0,0,0,-0.15,-0.157,-0.085,0.005,-0.009,0.006,0.003,0,0,0,
1.83,4.3,0.000469159,-0.0300262,0.00562991,0.00375327,0.00187664,0.000469159,-0.00023458,0.000469159,-0,-0,-0,-0,-0,-0,-0.0349524,-0.00328412,0.00187664,-0.000469159,-0.00187664,0.000469159,0.000469159,-0,-0,-0,-0.544,0.216,0.035,-0.006,0.008,-0.003,0.003,-0.001,0.002,0,0,0,0,0,0,0,-0.032,0.026,0.041,-0.009,-0.014,0,0.006,0,0,0,0.08,-0.002,-0.01,-0.001,0.023,0.009,-0.006,0,0.005,0,0,0,-0.147,-0.154,-0.085,0.005,-0.007,0.005,0.003,0,0,0,
1.84,4.3,0.000686836,-0.0288471,0.00549469,0.00366313,0.00183156,0.000457891,-0.000228945,0.000457891,-0,-0,-0,-0,-0,-0,-0.0341129,-0.00320523,0.00183156,-0.000457891,-0.00183156,0.000457891,0.000457891,-0,-0,-0,-0.513,0.217,0.036,-0.007,0.009,-0.003,0.003,-0.001,0.002,0,0,0,0,0,0,0,-0.033,0.027,0.04,-0.009,-0.014,0,0.006,0,0,0,0.083,-0.002,-0.009,-0.001,0.023,0.009,-0.006,0,0.005,0,0,0,-0.146,-0.151,-0.084,0.004,-0.007,0.005,0.003,0,0,0,
1.85,4.3,0.0008933,-0.027469,0.00513648,0.00379653,0.0017866,0.00044665,-0.00044665,0.00044665,0.000223325,-0,-0,-0,-0,-0,-0.0332754,-0.00312655,0.0017866,-0.00044665,-0.00156328,0.00044665,0.00044665,-0,-0,-0,-0.485,0.223,0.036,-0.008,0.01,-0.003,0.003,-0.001,0.001,0,0,0,0,0,0,0,-0.034,0.029,0.04,-0.009,-0.014,0,0.006,0,0,0,0.086,0,-0.008,-0.001,0.022,0.008,-0.006,0,0.005,0,0,0,-0.143,-0.147,-0.085,0.003,-0.007,0.004,0.003,0,0,0,
1.86,4.3,0.000870877,-0.0259086,0.00500754,0.00370123,0.00174175,0.000435438,-0.000435438,0.000435438,0.000217719,-0,-0,-0,-0,-0,-0.0324402,-0.00283035,0.00174175,-0.000435438,-0.00174175,0.000217719,0.000435438,-0,-0,-0,-0.461,0.234,0.037,-0.009,0.01,-0.003,0.003,-0.001,0.001,0,0,0,0,0,0,0,-0.035,0.029,0.04,-0.009,-0.014,0,0.006,0,0,0,0.088,0,-0.007,-0.001,0.021,0.007,-0.006,0,0.005,0,0,0,-0.141,-0.144,-0.085,0.003,-0.007,0.004,0.003,0,0,0,
1.87,4.3,0.000848511,-0.0243947,0.00509107,0.0038183,0.00169702,0.000424256,-0.000424256,0.000424256,0.000212128,-0,-0,-0,-0,-0,-0.0313949,-0.00254553,0.00169702,-0.000424256,-0.00169702,0.000212128,0.000424256,-0,-0,-0,-0.443,0.252,0.038,-0.01,0.01,-0.003,0.004,-0.001,0.001,0,0,0,0,0,0,0,-0.036,0.03,0.04,-0.009,-0.014,0,0.006,0,0,0,0.09,0.001,-0.006,-0.001,0.02,0.007,-0.005,0,0.005,0,0,0,-0.138,-0.14,-0.085,0.002,-0.006,0.004,0.003,0,0,0,
1.88,4.3,0.000619654,-0.0227206,0.00495723,0.00371792,0.00165241,0.000413103,-0.000619654,0.000413103,0.000206551,-0,-0,-0,-0,-0,-0.0307762,-0.00268517,0.00165241,-0.000413103,-0.00165241,0.000206551,0.000413103,-0,-0,-0,-0.43,0.273,0.038,-0.01,0.01,-0.003,0.004,-0.001,0.001,0,0,0,0,0,0,0,-0.037,0.03,0.039,-0.009,-0.014,0,0.005,0,0,0,0.091,0.002,-0.005,-0.001,0.019,0.005,-0.005,0,0.005,0,0,0,-0.136,-0.137,-0.086,0.002,-0.006,0.004,0.003,0,0,0,
1.89,4.3,0.00020099,-0.020903,0.00462277,0.00361782,0.00160792,0.00040198,-0.00060297,0.00020099,0.00020099,-0,-0,-0,-0,-0,-0.0299475,-0.00241188,0.00160792,-0.00040198,-0.00160792,0.00020099,0.00040198,-0,-0,-0,-0.423,0.297,0.037,-0.011,0.009,-0.003,0.004,-0.001,0.001,0,0,0,0,0,0,0,-0.038,0.031,0.039,-0.009,-0.014,0,0.005,0,0,0,0.093,0.002,-0.005,-0.001,0.019,0.004,-0.005,0,0.005,0,0,0,-0.132,-0.134,-0.086,0.002,-0.005,0.003,0.003,0,0,0,
1.9,4.3,-0.000390888,-0.019349,0.00449521,0.00371344,0.00156355,0.000390888,-0.000586332,0.000195444,0.000195444,-0,-0,-0,-0,-0,-0.0289257,-0.00214989,0.001759,-0.000390888,-0.00136811,0.000195444,0.000390888,-0,-0,-0,-0.425,0.325,0.038,-0.012,0.01,-0.003,0.004,-0.001,0.001,0,0,0,0,0,0,0,-0.038,0.031,0.039,-0.009,-0.014,0,0.005,0,0,0,0.095,0.004,-0.004,0,0.019,0.003,-0.005,0,0.005,0,0,0,-0.131,-0.131,-0.086,0.002,-0.005,0.003,0.003,0,0,0,
